Date,Value
12/30/1927,17.66
1/3/1928,17.76
1/4/1928,17.719999
1/5/1928,17.549999
1/6/1928,17.66
1/9/1928,17.5
1/10/1928,17.370001
1/11/1928,17.35
1/12/1928,17.469999
1/13/1928,17.58
1/16/1928,17.290001
1/17/1928,17.299999
1/18/1928,17.26
1/19/1928,17.379999
1/20/1928,17.48
1/23/1928,17.639999
1/24/1928,17.709999
1/25/1928,17.52
1/26/1928,17.629999
1/27/1928,17.690001
1/30/1928,17.49
1/31/1928,17.57
2/1/1928,17.530001
2/2/1928,17.629999
2/3/1928,17.4
2/6/1928,17.450001
2/7/1928,17.440001
2/8/1928,17.49
2/9/1928,17.549999
2/10/1928,17.540001
2/14/1928,17.440001
2/15/1928,17.4
2/16/1928,17.35
2/17/1928,17.040001
2/20/1928,16.950001
2/21/1928,17.110001
2/23/1928,17.129999
2/24/1928,17.18
2/27/1928,17.110001
2/28/1928,17.16
2/29/1928,17.26
3/1/1928,17.299999
3/2/1928,17.299999
3/5/1928,17.57
3/6/1928,17.67
3/7/1928,17.58
3/8/1928,17.639999
3/9/1928,17.93
3/12/1928,18
3/13/1928,17.92
3/14/1928,17.93
3/15/1928,18.07
3/16/1928,18.26
3/19/1928,18.360001
3/20/1928,18.459999
3/21/1928,18.65
3/22/1928,18.6
3/23/1928,18.780001
3/26/1928,19.049999
3/27/1928,18.940001
3/28/1928,18.889999
3/29/1928,18.950001
3/30/1928,19.280001
4/2/1928,18.91
4/3/1928,19.02
4/4/1928,18.99
4/5/1928,19.23
4/9/1928,19.27
4/10/1928,19.1
4/11/1928,19.440001
4/12/1928,19.41
4/13/1928,19.73
4/16/1928,19.68
4/17/1928,19.52
4/18/1928,19.52
4/19/1928,19.629999
4/20/1928,19.34
4/23/1928,19.15
4/24/1928,19.25
4/25/1928,19.33
4/26/1928,19.469999
4/27/1928,19.68
4/30/1928,19.75
5/1/1928,19.780001
5/2/1928,19.83
5/3/1928,19.93
5/4/1928,20.24
5/7/1928,20.41
5/8/1928,20.27
5/9/1928,20.24
5/10/1928,20.209999
5/11/1928,20.360001
5/14/1928,20.440001
5/15/1928,20.389999
5/16/1928,20.049999
5/17/1928,20.120001
5/18/1928,19.92
5/21/1928,19.629999
5/22/1928,19.360001
5/23/1928,19.75
5/24/1928,19.870001
5/25/1928,19.9
5/28/1928,19.57
5/29/1928,19.82
5/31/1928,20
6/1/1928,20.07
6/4/1928,19.799999
6/5/1928,19.85
6/6/1928,19.66
6/7/1928,19.610001
6/8/1928,19.370001
6/11/1928,18.68
6/12/1928,18.34
6/13/1928,18.889999
6/14/1928,19.049999
6/15/1928,18.74
6/18/1928,18.4
6/19/1928,18.34
6/20/1928,18.57
6/21/1928,18.559999
6/22/1928,18.540001
6/25/1928,18.469999
6/26/1928,18.68
6/27/1928,18.860001
6/28/1928,19.07
6/29/1928,19.139999
7/2/1928,18.98
7/3/1928,19.290001
7/5/1928,19.48
7/6/1928,19.389999
7/9/1928,19.459999
7/10/1928,19.43
7/11/1928,18.950001
7/12/1928,18.809999
7/13/1928,18.959999
7/16/1928,18.700001
7/17/1928,18.799999
7/18/1928,19.030001
7/19/1928,18.99
7/20/1928,19.030001
7/23/1928,19.120001
7/24/1928,19.09
7/25/1928,19.200001
7/26/1928,19.24
7/27/1928,19.42
7/30/1928,19.469999
7/31/1928,19.43
8/1/1928,19.42
8/2/1928,19.33
8/3/1928,19.360001
8/6/1928,19.58
8/7/1928,19.49
8/8/1928,19.25
8/9/1928,19.299999
8/10/1928,19.25
8/13/1928,19.290001
8/14/1928,19.129999
8/15/1928,19.469999
8/16/1928,19.610001
8/17/1928,19.639999
8/20/1928,19.77
8/21/1928,20.02
8/22/1928,20
8/23/1928,20.02
8/24/1928,20.34
8/27/1928,20.379999
8/28/1928,20.540001
8/29/1928,20.58
8/30/1928,20.610001
8/31/1928,20.870001
9/4/1928,20.969999
9/5/1928,21.07
9/6/1928,20.940001
9/7/1928,21.09
9/10/1928,20.92
9/11/1928,21.08
9/12/1928,21.16
9/13/1928,21.139999
9/14/1928,21.139999
9/17/1928,21.33
9/18/1928,21.18
9/19/1928,21.18
9/20/1928,21.219999
9/21/1928,21.360001
9/24/1928,21.43
9/25/1928,21.41
9/26/1928,21.4
9/27/1928,21.129999
9/28/1928,21.139999
10/1/1928,21.360001
10/2/1928,21.26
10/3/1928,21.190001
10/4/1928,21.26
10/5/1928,21.219999
10/8/1928,21.110001
10/9/1928,21.18
10/10/1928,21.41
10/11/1928,21.51
10/15/1928,21.65
10/16/1928,21.719999
10/17/1928,21.790001
10/18/1928,21.84
10/19/1928,21.959999
10/22/1928,21.809999
10/23/1928,21.950001
10/24/1928,21.99
10/25/1928,21.91
10/26/1928,21.65
10/29/1928,22
10/30/1928,21.76
10/31/1928,21.68
11/1/1928,21.99
11/2/1928,21.950001
11/5/1928,22.24
11/7/1928,22.24
11/8/1928,22.389999
11/9/1928,22.549999
11/12/1928,22.84
11/13/1928,22.91
11/14/1928,22.91
11/15/1928,23.030001
11/16/1928,23.370001
11/19/1928,23.370001
11/20/1928,23.57
11/21/1928,23.219999
11/22/1928,23.52
11/23/1928,23.700001
11/26/1928,23.799999
11/27/1928,23.91
11/28/1928,24.190001
11/30/1928,24.280001
12/3/1928,23.85
12/4/1928,23.91
12/5/1928,23.809999
12/6/1928,22.91
12/7/1928,22.360001
12/10/1928,22.309999
12/11/1928,22.74
12/12/1928,22.52
12/13/1928,22.48
12/14/1928,22.530001
12/17/1928,22.440001
12/18/1928,22.700001
12/19/1928,22.98
12/20/1928,23.07
12/21/1928,23.33
12/24/1928,23.540001
12/26/1928,23.440001
12/27/1928,23.639999
12/28/1928,23.98
12/31/1928,24.35
1/2/1929,24.809999
1/3/1929,24.860001
1/4/1929,24.85
1/7/1929,24.25
1/8/1929,24.17
1/9/1929,24.540001
1/10/1929,24.58
1/11/1929,24.540001
1/14/1929,24.59
1/15/1929,24.23
1/16/1929,24.559999
1/17/1929,24.690001
1/18/1929,24.77
1/21/1929,24.860001
1/22/1929,25.07
1/23/1929,25.219999
1/24/1929,25.059999
1/25/1929,25.48
1/28/1929,25.35
1/29/1929,25.360001
1/30/1929,25.450001
1/31/1929,25.74
2/1/1929,25.84
2/4/1929,25.639999
2/5/1929,25.700001
2/6/1929,25.49
2/7/1929,24.709999
2/8/1929,24.440001
2/11/1929,24.98
2/13/1929,24.950001
2/14/1929,24.85
2/15/1929,24.35
2/18/1929,24.389999
2/19/1929,24.379999
2/20/1929,24.59
2/21/1929,24.860001
2/25/1929,24.91
2/26/1929,24.950001
2/27/1929,25.25
2/28/1929,25.59
3/1/1929,25.83
3/4/1929,25.49
3/5/1929,25.32
3/6/1929,24.92
3/7/1929,25.15
3/8/1929,25.309999
3/11/1929,24.950001
3/12/1929,24.969999
3/13/1929,25.24
3/14/1929,25.73
3/15/1929,26.08
3/18/1929,26.040001
3/19/1929,26.030001
3/20/1929,26.02
3/21/1929,25.9
3/22/1929,25.549999
3/25/1929,24.51
3/26/1929,24.35
3/27/1929,25.09
3/28/1929,25.530001
4/1/1929,24.879999
4/2/1929,25.17
4/3/1929,24.860001
