Date,EURO
7/9/1980,0.6701
7/10/1980,0.6709
7/11/1980,0.6708
7/14/1980,0.6718
7/15/1980,0.6733
7/16/1980,0.6722
7/17/1980,0.6699
7/18/1980,0.6734
7/21/1980,0.6713
7/22/1980,0.6699
7/23/1980,0.6703
7/24/1980,0.6686
7/25/1980,0.6697
7/28/1980,0.6708
7/29/1980,0.6754
7/30/1980,0.6804
7/31/1980,0.6847
8/1/1980,0.6882
8/4/1980,0.6861
8/5/1980,0.6829
8/6/1980,0.6806
8/7/1980,0.6844
8/8/1980,0.685
8/11/1980,0.6853
8/12/1980,0.6846
8/13/1980,0.684
8/14/1980,0.6863
8/15/1980,0.6864
8/18/1980,0.6914
8/19/1980,0.6916
8/20/1980,0.6906
8/21/1980,0.6912
8/22/1980,0.6942
8/26/1980,0.6939
8/27/1980,0.6927
8/28/1980,0.6891
8/29/1980,0.6913
9/1/1980,0.6887
9/2/1980,0.6857
9/3/1980,0.6856
9/4/1980,0.6843
9/5/1980,0.6863
9/8/1980,0.6852
9/9/1980,0.6854
9/10/1980,0.6858
9/11/1980,0.6848
9/12/1980,0.686
9/15/1980,0.6877
9/16/1980,0.6877
9/17/1980,0.6866
9/18/1980,0.69
9/19/1980,0.6921
9/22/1980,0.6951
9/23/1980,0.6968
9/24/1980,0.6921
9/25/1980,0.6922
9/26/1980,0.6954
9/29/1980,0.6981
9/30/1980,0.6973
10/1/1980,0.6961
10/2/1980,0.6972
10/3/1980,0.6973
10/6/1980,0.6935
10/7/1980,0.6954
10/8/1980,0.6949
10/9/1980,0.6952
10/10/1980,0.695
10/13/1980,0.696
10/14/1980,0.6988
10/15/1980,0.7022
10/16/1980,0.7033
10/17/1980,0.7073
10/20/1980,0.7133
10/21/1980,0.7145
10/22/1980,0.7161
10/23/1980,0.7144
10/24/1980,0.716
10/27/1980,0.7202
10/28/1980,0.7248
10/29/1980,0.722
10/30/1980,0.726
10/31/1980,0.7281
11/3/1980,0.7334
11/4/1980,0.7326
11/5/1980,0.7418
11/6/1980,0.7435
11/7/1980,0.7472
11/10/1980,0.7323
11/11/1980,0.7233
11/12/1980,0.7272
11/13/1980,0.7269
11/14/1980,0.7314
11/17/1980,0.7406
11/18/1980,0.7356
11/19/1980,0.7323
11/20/1980,0.7356
11/21/1980,0.7381
11/24/1980,0.7369
11/25/1980,0.7364
11/26/1980,0.739
11/27/1980,0.7406
11/28/1980,0.7408
12/1/1980,0.7449
12/2/1980,0.7462
12/3/1980,0.7449
12/4/1980,0.746
12/5/1980,0.7518
12/8/1980,0.7535
12/9/1980,0.7588
12/10/1980,0.7657
12/11/1980,0.7744
12/12/1980,0.7682
12/15/1980,0.7601
12/16/1980,0.7733
12/17/1980,0.7678
12/18/1980,0.7663
12/19/1980,0.763
12/22/1980,0.7549
12/23/1980,0.7474
12/24/1980,0.7478
12/29/1980,0.753
12/30/1980,0.7499
12/31/1980,0.7533
1/2/1981,0.7602
1/5/1981,0.7473
1/6/1981,0.7443
1/7/1981,0.7463
1/8/1981,0.755
1/9/1981,0.7573
1/12/1981,0.7602
1/13/1981,0.769
1/14/1981,0.7657
1/15/1981,0.7683
1/16/1981,0.7749
1/19/1981,0.7702
1/20/1981,0.7711
1/21/1981,0.7648
1/22/1981,0.7751
1/23/1981,0.7781
1/26/1981,0.787
1/27/1981,0.7911
1/28/1981,0.7967
1/29/1981,0.8012
1/30/1981,0.8098
2/2/1981,0.8118
2/3/1981,0.8229
2/4/1981,0.812
2/5/1981,0.8179
2/6/1981,0.8212
2/9/1981,0.8191
2/10/1981,0.8225
2/11/1981,0.8237
2/12/1981,0.8351
2/13/1981,0.8434
2/16/1981,0.8603
2/17/1981,0.8432
2/18/1981,0.8306
2/19/1981,0.8264
2/20/1981,0.8049
2/23/1981,0.8156
2/24/1981,0.8194
2/25/1981,0.8164
2/26/1981,0.8185
2/27/1981,0.8253
3/2/1981,0.8354
3/3/1981,0.8386
3/4/1981,0.8281
3/5/1981,0.8289
3/6/1981,0.8298
3/9/1981,0.8248
3/10/1981,0.8168
3/11/1981,0.8222
3/12/1981,0.8206
3/13/1981,0.8195
3/16/1981,0.8131
3/17/1981,0.8104
3/18/1981,0.803
3/19/1981,0.7969
3/20/1981,0.803
3/23/1981,0.8145
3/24/1981,0.8129
3/25/1981,0.8158
3/26/1981,0.8177
3/27/1981,0.8287
3/30/1981,0.8268
3/31/1981,0.8173
4/1/1981,0.8185
4/2/1981,0.8207
4/3/1981,0.8307
4/6/1981,0.8371
4/7/1981,0.8357
4/8/1981,0.8261
4/9/1981,0.8368
4/10/1981,0.8371
4/13/1981,0.8475
4/14/1981,0.8439
4/15/1981,0.8465
4/16/1981,0.8529
4/21/1981,0.8516
4/22/1981,0.8469
4/23/1981,0.8451
4/24/1981,0.8493
4/27/1981,0.8499
4/28/1981,0.854
4/29/1981,0.8606
4/30/1981,0.8606
5/1/1981,0.8605
5/5/1981,0.8853
5/6/1981,0.8789
5/7/1981,0.8837
5/8/1981,0.879
5/11/1981,0.8916
5/12/1981,0.8952
5/13/1981,0.8947
5/14/1981,0.9018
5/15/1981,0.8994
5/18/1981,0.8969
5/19/1981,0.8982
5/20/1981,0.8969
5/21/1981,0.9053
5/22/1981,0.904
5/26/1981,0.9073
5/27/1981,0.9126
5/28/1981,0.9047
5/29/1981,0.9075
6/1/1981,0.9068
6/2/1981,0.9201
6/3/1981,0.918
6/4/1981,0.932
6/5/1981,0.9434
6/8/1981,0.9374
6/9/1981,0.9346
6/10/1981,0.9242
6/11/1981,0.9343
6/12/1981,0.9341
6/15/1981,0.9215
6/16/1981,0.9164
6/17/1981,0.9131
6/18/1981,0.9237
6/19/1981,0.9311
6/22/1981,0.9242
6/23/1981,0.9197
6/24/1981,0.923
6/25/1981,0.9334
6/26/1981,0.9325
6/29/1981,0.9322
6/30/1981,0.9329
7/1/1981,0.9412
7/2/1981,0.9386
7/3/1981,0.9407
7/6/1981,0.9526
7/7/1981,0.9513
7/8/1981,0.9585
7/9/1981,0.9603
7/10/1981,0.9526
7/13/1981,0.9466
7/14/1981,0.954
7/15/1981,0.9442
7/16/1981,0.9394
7/17/1981,0.9466
7/20/1981,0.9525
7/21/1981,0.9603
7/22/1981,0.9542
7/23/1981,0.9533
7/24/1981,0.9511
7/27/1981,0.9468
7/28/1981,0.9531
7/30/1981,0.9608
7/31/1981,0.9606
8/3/1981,0.9782
8/4/1981,0.9813
8/5/1981,0.9793
8/6/1981,0.9827
8/7/1981,0.988
8/10/1981,1.0032
8/11/1981,1.0013
8/12/1981,0.9697
8/13/1981,0.9803
8/14/1981,0.9787
8/17/1981,0.9786
8/18/1981,0.9722
8/19/1981,0.973
8/20/1981,0.9651
8/21/1981,0.9603
8/24/1981,0.9589
8/25/1981,0.9771
8/26/1981,0.9676
8/27/1981,0.9662
8/28/1981,0.9593
9/1/1981,0.9598
9/2/1981,0.9533
9/3/1981,0.9483
9/4/1981,0.9442
9/7/1981,0.949
9/8/1981,0.9497
9/9/1981,0.9501
9/10/1981,0.9414
9/11/1981,0.9413
9/14/1981,0.9308
9/15/1981,0.9203
9/16/1981,0.9101
9/17/1981,0.8919
9/18/1981,0.8916
9/21/1981,0.8764
9/22/1981,0.8894
9/23/1981,0.8948
9/24/1981,0.9149
9/25/1981,0.9123
9/28/1981,0.9198
9/29/1981,0.9079
9/30/1981,0.9118
10/1/1981,0.9138
10/2/1981,0.8998
10/5/1981,0.8931
10/6/1981,0.9016
10/7/1981,0.8904
10/8/1981,0.8882
10/9/1981,0.8783
10/12/1981,0.8753
10/13/1981,0.8858
10/14/1981,0.891
10/15/1981,0.8877
10/16/1981,0.8992
10/19/1981,0.8956
10/20/1981,0.8946
10/21/1981,0.9084
10/22/1981,0.9161
10/23/1981,0.9111
10/26/1981,0.9246
10/27/1981,0.9223
10/28/1981,0.9181
10/29/1981,0.9111
10/30/1981,0.9045
11/2/1981,0.8923
11/3/1981,0.8931
11/4/1981,0.8882
11/5/1981,0.8881
11/6/1981,0.8938
11/9/1981,0.8858
11/10/1981,0.8926
11/11/1981,0.8898
