Date,JPY
1/5/1971,357.81
1/6/1971,357.86
1/7/1971,357.87
1/8/1971,357.82
1/11/1971,357.95
1/12/1971,358.06
1/13/1971,358.44
1/14/1971,358.4
1/15/1971,358.4
1/18/1971,358.29
1/19/1971,358.35
1/20/1971,358.4
1/21/1971,358.27
1/22/1971,357.9
1/25/1971,357.73
1/26/1971,357.78
1/27/1971,357.79
1/28/1971,357.83
1/29/1971,357.72
2/1/1971,357.67
2/2/1971,357.55
2/3/1971,357.54
2/4/1971,357.51
2/5/1971,357.53
2/8/1971,357.49
2/9/1971,357.5
2/10/1971,357.5
2/11/1971,357.5
2/16/1971,357.53
2/17/1971,357.53
2/18/1971,357.53
2/19/1971,357.56
2/22/1971,357.6
2/23/1971,357.55
2/24/1971,357.6
2/25/1971,357.56
2/26/1971,357.56
3/1/1971,357.63
3/2/1971,357.56
3/3/1971,357.49
3/4/1971,357.45
3/5/1971,357.59
3/8/1971,357.55
3/9/1971,357.46
3/10/1971,357.59
3/11/1971,357.56
3/12/1971,357.58
3/15/1971,357.54
3/16/1971,357.49
3/17/1971,357.53
3/18/1971,357.56
3/19/1971,357.56
3/22/1971,357.44
3/23/1971,357.53
3/24/1971,357.53
3/25/1971,357.47
3/26/1971,357.47
3/29/1971,357.44
3/30/1971,357.49
3/31/1971,357.42
4/1/1971,357.49
4/2/1971,357.53
4/5/1971,357.5
4/6/1971,357.46
4/7/1971,357.55
4/8/1971,357.55
4/9/1971,357.5
4/12/1971,357.5
4/13/1971,357.62
4/14/1971,357.58
4/15/1971,357.5
4/16/1971,357.54
4/19/1971,357.49
4/20/1971,357.49
4/21/1971,357.49
4/22/1971,357.49
4/23/1971,357.49
4/26/1971,357.5
4/27/1971,357.49
4/28/1971,357.5
4/29/1971,357.41
4/30/1971,357.4
5/3/1971,357.41
5/4/1971,357.4
5/5/1971,357.4
5/6/1971,357.41
5/7/1971,357.41
5/10/1971,357.14
5/11/1971,357.44
5/12/1971,357.53
5/13/1971,357.49
5/14/1971,357.49
5/17/1971,357.4
5/18/1971,357.44
5/19/1971,357.4
5/20/1971,357.46
5/21/1971,357.4
5/24/1971,357.4
5/25/1971,357.4
5/26/1971,357.44
5/27/1971,357.4
5/28/1971,357.4
6/1/1971,357.46
6/2/1971,357.4
6/3/1971,357.46
6/4/1971,357.4
6/7/1971,357.4
6/8/1971,357.4
6/9/1971,357.4
6/10/1971,357.4
6/11/1971,357.4
6/14/1971,357.4
6/15/1971,357.46
6/16/1971,357.46
6/17/1971,357.46
6/18/1971,357.4
6/21/1971,357.4
6/22/1971,357.4
6/23/1971,357.4
6/24/1971,357.4
6/25/1971,357.4
6/28/1971,357.37
6/29/1971,357.39
6/30/1971,357.4
7/1/1971,357.4
7/2/1971,357.4
7/6/1971,357.45
7/7/1971,357.46
7/8/1971,357.46
7/9/1971,357.4
7/12/1971,357.41
7/13/1971,357.44
7/14/1971,357.4
7/15/1971,357.4
7/16/1971,357.4
7/19/1971,357.39
7/20/1971,357.39
7/21/1971,357.4
7/22/1971,357.37
7/23/1971,357.36
7/26/1971,357.4
7/27/1971,357.37
7/28/1971,357.4
7/29/1971,357.4
7/30/1971,357.39
8/2/1971,357.41
8/3/1971,357.37
8/4/1971,357.37
8/5/1971,357.37
8/6/1971,357.37
8/9/1971,357.35
8/10/1971,357.39
8/11/1971,357.35
8/12/1971,357.4
8/13/1971,357.35
8/31/1971,339.85
9/1/1971,341.01
9/2/1971,338.98
9/3/1971,340.14
9/7/1971,339.79
9/8/1971,339.39
9/9/1971,339.07
9/10/1971,338.81
9/13/1971,338.98
9/14/1971,338.24
9/15/1971,338.41
9/16/1971,337.84
9/17/1971,337.95
9/20/1971,337.27
9/21/1971,337.34
9/22/1971,337.44
9/23/1971,337.27
9/24/1971,336.98
9/27/1971,336.25
9/28/1971,336.36
9/29/1971,335.57
9/30/1971,335.35
10/1/1971,333.39
10/4/1971,333.17
10/5/1971,333.14
10/6/1971,332.65
10/7/1971,332.61
10/8/1971,332.37
10/12/1971,330.52
10/13/1971,331.4
10/14/1971,330.85
10/15/1971,330.58
10/18/1971,329.6
10/19/1971,330.85
10/20/1971,331.07
10/21/1971,330.79
10/22/1971,330.36
10/26/1971,329
10/27/1971,329.54
10/28/1971,329.71
10/29/1971,329.5
11/1/1971,329.45
11/3/1971,329.5
11/4/1971,330.87
11/5/1971,329.16
11/8/1971,329.22
11/9/1971,329.16
11/10/1971,329.11
11/11/1971,329.11
11/12/1971,329.49
11/15/1971,328.73
11/16/1971,328.62
11/17/1971,328.8
11/18/1971,328.68
11/19/1971,328.4
11/22/1971,328.41
11/23/1971,328.19
11/24/1971,328.04
11/26/1971,327.6
11/29/1971,327.06
11/30/1971,327.44
12/1/1971,327.6
12/2/1971,326
12/3/1971,325.1
12/6/1971,326.53
12/7/1971,323.62
12/8/1971,323.5
12/9/1971,323.52
12/10/1971,323.1
12/13/1971,322.79
12/14/1971,322.58
12/15/1971,321.54
12/16/1971,320
12/17/1971,320.36
12/21/1971,314.98
12/22/1971,314.96
12/23/1971,315.01
12/24/1971,315.21
12/27/1971,314.96
12/28/1971,315.01
12/29/1971,315.21
12/30/1971,315.01
12/31/1971,315.01
1/3/1972,314.86
1/4/1972,314.96
1/5/1972,314.86
1/6/1972,312.01
1/7/1972,312.5
1/10/1972,312.99
1/11/1972,314.47
1/12/1972,313.48
1/13/1972,313.97
1/14/1972,312.99
1/17/1972,313.38
1/18/1972,312.89
1/19/1972,312.79
1/20/1972,312.01
1/21/1972,312.3
1/24/1972,312.21
1/25/1972,311.82
1/26/1972,311.53
1/27/1972,310.08
1/28/1972,310.46
1/31/1972,310.56
2/1/1972,310.37
2/2/1972,308.55
2/3/1972,309.12
2/4/1972,308.64
2/7/1972,308.17
2/8/1972,307.69
2/9/1972,304.79
2/10/1972,304.69
2/11/1972,304.69
2/14/1972,304.23
2/15/1972,304.14
2/16/1972,303.95
2/17/1972,303.95
2/18/1972,303.49
2/22/1972,302.85
2/23/1972,302.48
2/24/1972,302.11
2/25/1972,302.48
2/28/1972,303.95
2/29/1972,303.4
3/1/1972,303.21
3/2/1972,303.03
3/3/1972,302.66
3/6/1972,302.75
3/7/1972,302.3
3/8/1972,302.02
3/9/1972,301.66
3/10/1972,301.93
3/13/1972,302.3
3/14/1972,302.21
3/15/1972,302.11
3/16/1972,302.02
3/17/1972,302.11
3/20/1972,302.3
3/21/1972,302.11
3/22/1972,302.11
3/23/1972,301.93
3/24/1972,302.3
3/27/1972,302.57
3/28/1972,302.85
3/29/1972,303.77
3/30/1972,303.77
